p,seed,epoch,m_p,m_reference,scale_match,operator_gain_p10,operator_gain_p50,operator_gain_p90,operator_gain_p99,transformed_eig_p10,transformed_eig_p50,transformed_eig_p90,transformed_eig_p99,transformed_condition_proxy
0.375,123,2,50915.891102205125,143698.76189230275,1.6799634713719316,4.9974350669997385,11.67734807514702,19.94395808380325,22.393808269698127,0.1445623352006056,0.6385236472683277,1.339509917226339,3.4342831792801443,9.265967621286231
0.375,123,3,59663.18778349135,155440.9085042578,1.6140962779026131,3.917043701535774,9.75481572359828,18.263953375742854,21.46902138310137,0.1833383990142294,0.6900776070791819,1.4273465255459885,3.5260662608962963,7.78531138714268
0.375,123,4,65734.66581578871,163558.81184651543,1.5773923991999446,3.391906522120565,8.70477303664151,16.629999326030298,21.01558072491493,0.2409440867659921,0.7209994492472667,1.4820117538442914,3.591738290170578,6.15085339398115
0.375,123,5,71226.38929316677,171557.6385044512,1.5519744428870512,2.9793483564095324,7.9075921924587185,15.003839060416997,20.695595694727917,0.3056355403875455,0.7509171159806364,1.5504783950827778,3.595413858673585,5.072964986718406
0.5,123,1,96820.3267271574,96820.3267271574,1.0,10.444313526209688,22.22382286684479,31.32807656759584,31.618188173576087,0.0185516177638069,0.5061016971831065,0.8909162397538585,0.9957107832394944,48.02364144716147
0.5,123,2,135607.0216486856,135607.0216486856,1.0,5.175499841802853,14.752271545046456,28.272013099251808,31.61456391534983,0.2006932751950005,0.7823704842612127,0.973213839904404,0.9990999695357092,4.849259841710172
0.5,123,3,148739.772198661,148739.772198661,1.0,3.949915981441672,12.338548901780944,26.615474413106508,31.587253781403795,0.2916164081234975,0.8477602109983603,0.984398163726548,0.9994103861228112,3.3756610955500914
0.5,123,4,156819.13256731114,156819.13256731114,1.0,3.295526458941988,10.95953768103941,24.697776196996017,31.594669928006653,0.3900195918635684,0.8798885338178773,0.9891394931407604,0.9995462427696256,2.5361277068531685
0.5,123,5,165693.59939497005,165693.59939497005,1.0,2.827556466128874,9.933096583945042,22.20878953879593,31.622137213176195,0.5067692918365229,0.9013335922540192,0.992004756658986,0.9996373204192388,1.9575076324454832
0.625,123,1,389723.2602067135,96820.3267271574,0.4984310722398874,9.35847383979515,24.05074684848461,36.94215898061064,37.37027839612019,0.0257963850734105,0.5530997052859516,0.7413300991898154,0.7473357524896171,28.737751319813228
0.625,123,2,460306.83030696586,128058.54366320596,0.5274491170244313,5.047633221550666,17.061224631832086,35.652918054531014,39.5458313781126,0.2231626155739397,0.736739619749195,0.8334205220257578,0.83693122873733,3.734588429528526
0.625,123,3,479925.9433898065,141891.9605477962,0.5437406238097762,3.7054493843466942,14.403230672960497,34.40358434397524,40.743382727610346,0.3035431487241549,0.7866163206566604,0.8856255477608199,0.8894367823386357,2.9176265433209725
0.625,123,4,487569.9759504711,150525.26720131582,0.5556306905619902,3.0360694477112324,12.71334625028111,32.601978552490834,41.632572807722056,0.3390265237972318,0.8210798810912758,0.9244720429336276,0.928747691676498,2.726842822146106
0.625,123,5,501821.7959332462,159204.5279601973,0.5632522659082484,2.4942340001829093,11.421230319656487,29.483730070592035,42.237381187461175,0.4575631381327811,0.8387846257558106,0.9493355896251108,0.9543937786668146,2.074764137467781
0.75,123,1,1649651.3161835312,96820.3267271574,0.2422630569575476,8.17724774680224,25.38138655180084,42.480321065636666,43.071764405712365,0.0333879897452692,0.5604209184960977,0.7091639337464619,0.7143156943425379,21.24009079782781
0.75,123,2,1776316.6501277986,121383.49507310311,0.2614084522964545,4.782660679768484,18.91223838145585,42.20882633879256,46.47916366800542,0.1630924995037056,0.6790936220023936,0.8257988879928013,0.8316720750672638,5.063377472941595
0.75,123,3,1790549.931782721,135222.61661216946,0.2748093149724488,3.4417727759621446,16.01304592598998,41.62793848973551,48.82857306969033,0.1864343437558031,0.7301978647910312,0.9119775600908456,0.919139663977372,4.891682196094616
0.75,123,4,1772385.183478318,144257.62718007347,0.2852924882266975,2.7821176293829857,14.170980523301738,40.00643427874408,50.70179465453357,0.1844183745952349,0.7681382760468474,0.9812020055717584,0.9905738611063484,5.320521925894423
